domain,q_id,k,total_parts,hit_parts,mean_part_recall,total_items,mean_item_coverage,all_parts_items,all_parts_rate,weighted_item_coverage,weighted_evidence_score,core_item_coverage,core_evidence_recall,zero_hit_items,answer_facts,strict_answer_facts,answer_fact_coverage,mean_answer_fact_input_coverage,answer_groups,hit_answer_groups,numeric_group_coverage,numeric_question_complete,strict_multi_input_fact_count,strict_multi_input_hit_count,strict_complete_input_retrieval_rate
numeric,Q08,5,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q08,10,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q08,20,,,,,,,,,,,,,1,0,0.0,0.0,1,0,0.0,False,1,0,0.0
numeric,Q08,50,,,,,,,,,,,,,1,0,0.0,0.5,1,0,0.0,False,1,0,0.0
evidence,Q09,1,22,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q09,3,22,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q09,5,22,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q09,10,22,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q09,20,22,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q09,50,22,6,0.272727272727,11,0.272727272727,0,0.0,0.264705882353,0.0,0.333333333333,0.0,5,,,,,,,,,,,
evidence,Q10,1,26,0,0.0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,16,,,,,,,,,,,
evidence,Q10,3,26,0,0.0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,16,,,,,,,,,,,
evidence,Q10,5,26,1,0.038461538462,16,0.0625,1,0.0625,0.04347826087,0.04347826087,0.0,0.0,15,,,,,,,,,,,
evidence,Q10,10,26,1,0.038461538462,16,0.0625,1,0.0625,0.04347826087,0.04347826087,0.0,0.0,15,,,,,,,,,,,
evidence,Q10,20,26,1,0.038461538462,16,0.0625,1,0.0625,0.04347826087,0.04347826087,0.0,0.0,15,,,,,,,,,,,
evidence,Q10,50,26,6,0.230769230769,16,0.265625,4,0.25,0.315217391304,0.304347826087,0.428571428571,0.428571428571,11,,,,,,,,,,,
numeric,Q11,1,,,,,,,,,,,,,2,0,0.0,0.0,2,0,0.0,False,0,0,
numeric,Q11,3,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,0,0,
numeric,Q11,5,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,0,0,
numeric,Q11,10,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,0,0,
numeric,Q11,20,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,0,0,
numeric,Q11,50,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,0,0,
evidence,Q12,1,14,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q12,3,14,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q12,5,14,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q12,10,14,4,0.285714285714,11,0.318181818182,3,0.272727272727,0.279069767442,0.209302325581,0.125,0.0,7,,,,,,,,,,,
evidence,Q12,20,14,4,0.285714285714,11,0.318181818182,3,0.272727272727,0.279069767442,0.209302325581,0.125,0.0,7,,,,,,,,,,,
evidence,Q12,50,14,7,0.5,11,0.545454545455,6,0.545454545455,0.627906976744,0.627906976744,0.75,0.75,5,,,,,,,,,,,
numeric,Q13,1,,,,,,,,,,,,,2,0,0.0,0.5,2,0,0.0,False,2,0,0.0
numeric,Q13,3,,,,,,,,,,,,,2,0,0.0,0.5,2,0,0.0,False,2,0,0.0
numeric,Q13,5,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,2,2,1.0
numeric,Q13,10,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,2,2,1.0
numeric,Q13,20,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,2,2,1.0
numeric,Q13,50,,,,,,,,,,,,,2,2,1.0,1.0,2,2,1.0,True,2,2,1.0
evidence,Q14,1,25,0,0.0,15,0.0,0,0.0,0.0,0.0,0.0,0.0,15,,,,,,,,,,,
evidence,Q14,3,25,0,0.0,15,0.0,0,0.0,0.0,0.0,0.0,0.0,15,,,,,,,,,,,
evidence,Q14,5,25,0,0.0,15,0.0,0,0.0,0.0,0.0,0.0,0.0,15,,,,,,,,,,,
evidence,Q14,10,25,0,0.0,15,0.0,0,0.0,0.0,0.0,0.0,0.0,15,,,,,,,,,,,
evidence,Q14,20,25,0,0.0,15,0.0,0,0.0,0.0,0.0,0.0,0.0,15,,,,,,,,,,,
evidence,Q14,50,25,6,0.24,15,0.233333333333,1,0.066666666667,0.238095238095,0.047619047619,0.25,0.0,9,,,,,,,,,,,
evidence,Q15,1,34,1,0.029411764706,7,0.035714285714,0,0.0,0.044117647059,0.0,0.05,0.0,6,,,,,,,,,,,
evidence,Q15,3,34,2,0.058823529412,7,0.071428571429,0,0.0,0.088235294118,0.0,0.1,0.0,6,,,,,,,,,,,
evidence,Q15,5,34,2,0.058823529412,7,0.071428571429,0,0.0,0.088235294118,0.0,0.1,0.0,6,,,,,,,,,,,
evidence,Q15,10,34,3,0.088235294118,7,0.107142857143,0,0.0,0.132352941176,0.0,0.15,0.0,6,,,,,,,,,,,
evidence,Q15,20,34,11,0.323529411765,7,0.357142857143,0,0.0,0.360294117647,0.0,0.35,0.0,1,,,,,,,,,,,
evidence,Q15,50,34,19,0.558823529412,7,0.607142857143,1,0.142857142857,0.588235294118,0.088235294118,0.55,0.0,0,,,,,,,,,,,
evidence,Q16,1,46,0,0.0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,11,,,,,,,,,,,
evidence,Q16,3,46,1,0.021739130435,11,0.045454545455,0,0.0,0.055555555556,0.0,0.071428571429,0.0,10,,,,,,,,,,,
evidence,Q16,5,46,2,0.04347826087,11,0.090909090909,1,0.090909090909,0.111111111111,0.111111111111,0.142857142857,0.142857142857,10,,,,,,,,,,,
evidence,Q16,10,46,2,0.04347826087,11,0.090909090909,1,0.090909090909,0.111111111111,0.111111111111,0.142857142857,0.142857142857,10,,,,,,,,,,,
evidence,Q16,20,46,3,0.065217391304,11,0.109090909091,1,0.090909090909,0.122222222222,0.111111111111,0.142857142857,0.142857142857,9,,,,,,,,,,,
evidence,Q16,50,46,5,0.108695652174,11,0.157575757576,1,0.090909090909,0.151851851852,0.111111111111,0.142857142857,0.142857142857,8,,,,,,,,,,,
